average_salary,Location
58524922.9032258,South Carolina
53031486.9736842,Michigan
48000000.0,"Large but not the large city, Ontario"
47116791.3535354,United States
43245706.4122917,Australia
33696000.0,"Davis, CA, USA"
28190871.152,"Sacramento, CA, USA"
20000000.0,"Roseburg, OR, USA"
20000000.0,Mount pleasant sc usa
18656860.512426,"Vancouver, BC, Canada"
17798000.0,"Manassas, VA, USA"
16915250.0,"Peoria, IL, USA"
15963678.9290323,"Cleveland, OH, USA"
15200000.0,A city in the East bay region/California/USA
15069821.0,"Ottawa, Canada"
14400000.0,Middle Tennessee
13850000.0,"Seoul, South Korea"
13047333.3333333,"Augusta, Georgia"
13017625.0,"Lisle, IL"
11700000.0,Lake Buena Vista/FL/USA
11200000.0,"Hood River, OR"
11150000.0,"Buffalo Grove, IL"
10794791.8913043,"Cincinnati, OH"
10703870.0,"Newtown, PA, USA"
10500000.0,Northern KY
10200000.0,"Jurupa Valley, CA"
10129180.0,"Fairfax Station, VA"
10100000.0,Scarsdale/NY/USA
10051250.0,"Reno, Nevada, USA"
10000000.0,your face
9239700.0,"Leavenworth, KS"
9233083.33333333,SLC Utah USA
9000000.0,Bonduel WI. USA
8911250.0,Windsor CO
8629218.0,Pekin / Illinois / USA
8387700.0,"China Lake, CA"
8200000.0,Memphis Shelby Tennessee
8112750.0,New Jersey/United States
8088593.96551724,"St. Paul, MN, USA"
8022500.0,"Brookfield, CT, USA"
7848654.21052632,"Brisbane, Queensland, Australia"
7575441.17647059,"Boise, ID, USA"
7500000.0,"Middle island, new york"
7175000.0,Middle East
7124000.0,ESSEX Chelmsford
7011621.0,"Rancho Palos Verdes, CA, USA"
6715000.0,"Solomons, MD"
6638960.0,"Redmond, WA USA"
6587900.0,"Roseville, MN, USA"
6500000.0,"Topeka, KS Shawnee"
6448000.0,"Hollywood, MD, USA"
6440000.0,muskoka-georgian bay/ontario/canada
6200000.0,Mishawaka/Indiana/United States
6197500.0,"Portsmouth, Ohio USA"
6130020.0,"The Pas, MB Canada"
6030000.0,Belleville NJ
5943600.0,"Battle Ground, WA, USA"
5930000.0,Merrimack NH USA
5781000.0,"Visalia, CA"
5700000.0,"Montague, NJ, US"
5500000.0,Pearland TX USA
5418400.0,"Branford, CT, United States"
5247212.9380531,"Pittsburgh, PA, USA"
5200000.0,"Scotts Valley, California USA"
5102400.0,"Greenwich, CT"
5081200.0,"Fort Morgan, CO, USA"
5060000.0,Villa Rica Ga USA
